id,name,latitude,longitude
7451,"31st Street & Homan",41.837118333332,-87.709864999999
7452,"31st Street & Spaulding",41.837190000001,-87.707465000001
7458,"35th Street & Washtenaw",41.830108978364,-87.692559957504
7459,"35th Street & Rockwell",41.830156944331,-87.690119147301
7460,"35th Street & Maplewood",41.830188921622,-87.688885331154
7461,"35th Street & Artesian",41.830224896056,-87.686433792114
7462,"35th Street & Western Avenue",41.830252876156,-87.685226798058
7464,"35th Street & Oakley",41.83027685909,-87.682764530182
7465,"35th Street & Leavitt",41.830304839169,-87.680302262306
7491,"26th Street & King Drive",41.845747975654,-87.617892622948
7493,"26th Street & Prairie",41.845700021371,-87.620387077332
7494,"26th Street & Indiana",41.845676044217,-87.622125148773
7529,"Michigan & 96th Street",41.720040514991,-87.620601654053
7530,"Michigan & 97th Street",41.7182546924,-87.620558738708
7531,"Michigan & 98th Street",41.716464815931,-87.620494365692
7532,"Michigan & 99th Street",41.71465887215,-87.620462179184
7534,"Michigan & 101st Street",41.710974749675,-87.619915008545
7535,"Michigan & 102nd Street",41.709180665763,-87.619936466217
7536,"Michigan & 103rd Street",41.7075267003,-87.620161771774
7537,"Michigan & 104th Street",41.705516253994,-87.62049973011
7538,"Michigan & 105th Street",41.703633906644,-87.620676755905
7539,"10600 S Michigan",41.701767524865,-87.620810866356
7541,"Michigan & 108th Street",41.698182798485,-87.620896697044
7542,"Michigan & 109th Street",41.696448440144,-87.620832324028
7543,"Michigan & 110th Street",41.694569832964,-87.620784044266
7545,"Michigan & 112th Street",41.690920611891,-87.621052265167
7546,"Michigan & 113th Street",41.68917403986,-87.621020078659
7547,"Michigan & 114th Street",41.687239135207,-87.620955705643
7549,"Michigan & Kensington",41.68403419617,-87.620725035667
7550,"Michigan & 116th Street",41.682656023301,-87.620698213577
7551,"Michigan & 117th Street",41.681758592541,-87.620633840561
7552,"Michigan & 118th Street",41.680007765254,-87.620596289635
7553,"Michigan & 119th Street",41.678160731062,-87.620515823364
7554,"Michigan & 120th Street",41.676345697884,-87.620478272438
7555,"Michigan & 121st Street",41.674518592922,-87.620408535004
7556,"Michigan & 122nd Street",41.672675408173,-87.620370984077
7557,"Michigan & 123rd Street",41.670892277047,-87.620295882225
7558,"Michigan & 124th Street",41.669052995664,-87.620220780373
7559,"Michigan & 124th Place",41.667798727898,-87.620167136192
7560,"Michigan & 125th Place",41.666456273662,-87.620102763176
7561,"Michigan & 126th Street",41.664532708357,-87.620043754578
7562,"130th Street & Indiana ",41.659078286751,-87.617522478104
7563,"130th Street & Daniel Drive",41.659082294578,-87.615226507187
7576,"Ellis & 131st Street",41.657142477194,-87.598081827164
7577,"Ellis & 132nd Place",41.655314827195,-87.596778273582
7578,"Ellis & 133rd Street",41.653887941585,-87.596853375435
7579,"948 E 133rd Place",41.653815794844,-87.599771618843
7580,"133rd Place & Corliss",41.653266675332,-87.601831555367
7581,"133rd Place & Langley",41.652629370175,-87.604460120201
7582,"Langley & 133rd Street ",41.654144462677,-87.604969739914
7583,"Langley & 132nd Street",41.65564749542,-87.605055570602
7584,"Langley & 131st Street",41.657106405656,-87.605087757111
7585,"131st Street & St. Lawrence",41.657402993256,-87.60745882988
7586,"131st Street & Rhodes",41.657427040839,-87.609588503838
7587,"Eberhart & 130th Street",41.658946028323,-87.610586285591
7588,"130th Street & Daniel Drive",41.65915443542,-87.614974379539
7589,"130th Street & Indiana ",41.659142411952,-87.61725962162
7590,"127th Street & Michigan",41.663522813566,-87.619813084602
7591,"Michigan & 126th Street",41.664452558555,-87.619957923889
7592,"Michigan & 125th Place",41.666235868052,-87.620006203651
7593,"Michigan & 124th Place",41.667606377964,-87.620070576668
7594,"Michigan & 124th Street",41.668844620603,-87.620134949684
7595,"Michigan & 123rd Street",41.67064383688,-87.620193958282
7596,"Michigan & 122nd Street",41.672479065817,-87.620274424553
7597,"Michigan & 121st Street",41.674242118575,-87.620311975479
7598,"Michigan & 120th Street",41.6761052923,-87.620387077332
7599,"Michigan & 119th Street",41.678252883699,-87.620435357094
7600,"Michigan & 118th Street",41.679799425655,-87.620510458946
7601,"Michigan & 117th Street",41.681462117129,-87.620542645454
7602,"Michigan & 116th Street",41.682463717763,-87.620596289635
7603,"Michigan & Kensington",41.683841894751,-87.620623111725
7604,"Michigan & 115th Street",41.68520401742,-87.620714306831
7605,"Michigan & 114th Street",41.687175037991,-87.620864510536
7609,"Michigan & 110th Street",41.694357534885,-87.620714306831
7611,"Michigan & 108th Street",41.697946479893,-87.620810866356
7612,"Michigan & 107th Street",41.699788333333,-87.620855
7613,"10600 S Michigan",41.701643364499,-87.620730400085
7614,"Michigan & 105th Street",41.703373577672,-87.620612382889
7615,"Michigan & 104th Street",41.705279962351,-87.62044608593
7616,"Michigan & 103rd Street",41.707466628115,-87.620081305504
7617,"Michigan & 102nd Street",41.708972420637,-87.619861364365
7618,"Michigan & 101st Street",41.710726464262,-87.61981844902
7619,"Michigan & 100th Street",41.712560550015,-87.620049118996
7620,"Michigan & 99th Street",41.714426618491,-87.620338797569
7621,"Michigan & 98th Street",41.716240577333,-87.620408535004
7622,"Michigan & 97th Street",41.718006435107,-87.62047290802
7623,"Michigan & 96th Street",41.719880353555,-87.620515823364
7627,"33rd Place & Cottage Grove",41.833682344475,-87.611626982689
7628,"Cottage Grove & Woodland Park (3423 S)",41.832343354817,-87.611101269722
7629,"35th Street & Cottage Grove",41.831300122566,-87.610859870911
7630,"35th Street & King Drive",41.831152230028,-87.617720961571
7631,"35th Street & Giles",41.831112259013,-87.619244456291
7635,"35th Street & State (Green Line)",41.831040311123,-87.626706361771
7636,"35th Street & Federal",41.831004337148,-87.628852128983
7638,"Sox-35th Red Line Station",41.831068290868,-87.630563378334
7640,"35th Street & Shields",41.830924394909,-87.634946107864
7641,"35th Street & Normal",41.830880426635,-87.638615369797
7642,"35th Street & Wallace",41.83084045545,-87.641136646271
7643,"35th Street & Union",41.830824466969,-87.643539905548
7644,"35th Street & Halsted",41.83078449575,-87.645937800407
7645,"35th Street & Lituanica ",41.830752518756,-87.648351788521
7646,"35th Street & Morgan",41.830724538874,-87.650808691978
7647,"35th Street & Aberdeen",41.830680570462,-87.6532548666
7648,"35th Street & Racine",41.830660584811,-87.655593752861
7649,"35th Street & Iron",41.830608622087,-87.659230828285
7650,"1349 W 35th Street",41.830608622087,-87.660588026047
7651,"35th Street & Justine",41.830564653596,-87.664042711258
7652,"35th Street & Ashland",41.830560656459,-87.665378451347
7653,"35th Street & Paulina",41.830524682214,-87.667770981789
7654,"35th Street & Hermitage",41.830492705091,-87.669053077698
7656,"35th Street & Wolcott",41.830440742231,-87.67269551754
7657,"35th Street & Damen",41.830416759359,-87.675098776817
7658,"35th Street & Archer",41.830408765066,-87.677271366119
7659,"Harlem & 56th Street",41.790076849698,-87.801312804222
7660,"Harlem & Archer",41.791368728181,-87.801355719566
7661,"35th Street & Damen",41.830356802138,-87.675447463989
7662,"35th Street & Wolcott",41.830376787885,-87.673038840294
7663,"35th Street & Wood",41.830418333334,-87.670541666665
7664,"35th Street & Hermitage",41.830433333333,-87.669316666666
